month,day_type,crash_count,WEATHER_CONDITION_DESC,ROAD_SURFACE_CONDITION_DESC,LIGHT_CONDITION_DESC
April,Weekday,2,Rain,Wet,Daylight
April,Weekday,2,"No Adverse Conditions",Wet,Daylight
April,Weekday,1,"No Adverse Conditions",Dry,"Dark - Lighted"
April,Weekday,1,"No Adverse Conditions",Ice,"Dark - Lighted"
April,Weekday,1,"No Adverse Conditions",Dry,Daylight
April,Weekday,1,Snow,Snow,Daylight
April,Weekend,1,"Blowing Sand Soil Dirt Or Snow",Snow,Daylight
August,Weekday,1,"No Adverse Conditions",Dry,Daylight
August,Weekday,1,"No Adverse Conditions",Wet,Daylight
August,Weekday,1,Rain,"Water(Standing Moving)",Daylight
December,Weekday,114,"No Adverse Conditions",Dry,Daylight
December,Weekday,52,"No Adverse Conditions",Dry,"Dark - Lighted"
December,Weekday,33,Rain,Wet,"Dark - Lighted"
December,Weekday,24,Rain,Wet,Daylight
December,Weekday,13,"No Adverse Conditions",Wet,"Dark - Lighted"
December,Weekday,8,"No Adverse Conditions",Ice,"Dark - Lighted"
December,Weekday,7,"No Adverse Conditions",Wet,Daylight
December,Weekday,5,"No Adverse Conditions",Dry,Dusk
December,Weekday,4,"No Adverse Conditions",Ice,Daylight
December,Weekday,4,"No Adverse Conditions",Dry,Dawn
December,Weekday,3,"No Adverse Conditions",Snow,"Dark - Lighted"
December,Weekday,2,Snow,Snow,"Dark - Not Lighted"
December,Weekday,2,"No Adverse Conditions",Snow,Daylight
December,Weekday,2,Fog,Dry,"Dark - Lighted"
December,Weekday,2,Rain,Wet,Dusk
December,Weekday,2,Snow,Snow,"Dark - Lighted"
December,Weekday,1,Fog,Wet,Dawn
December,Weekday,1,Snow,Ice,"Dark - Lighted"
December,Weekday,1,"No Adverse Conditions",Dry,Unknown
December,Weekday,1,"No Adverse Conditions",Wet,Dawn
December,Weekday,1,"No Adverse Conditions",Ice,"Dark - Not Lighted"
December,Weekday,1,Fog,Dry,Daylight
December,Weekday,1,"No Adverse Conditions",Slush,"Dark - Lighted"
December,Weekday,1,Fog,Wet,"Dark - Lighted"
December,Weekend,15,"No Adverse Conditions",Dry,Daylight
December,Weekend,10,"No Adverse Conditions",Dry,"Dark - Lighted"
December,Weekend,5,Rain,Wet,"Dark - Lighted"
December,Weekend,3,Rain,Wet,Daylight
December,Weekend,2,"No Adverse Conditions",Wet,Daylight
December,Weekend,2,"No Adverse Conditions",Snow,"Dark - Lighted"
December,Weekend,2,"No Adverse Conditions",Ice,"Dark - Lighted"
December,Weekend,1,Fog,Dry,Daylight
December,Weekend,1,Snow,Snow,"Dark - Lighted"
December,Weekend,1,"No Adverse Conditions",Wet,"Dark - Lighted"
December,Weekend,1,Fog,Wet,"Dark - Lighted"
December,Weekend,1,Fog,Dry,"Dark - Lighted"
December,Weekend,1,"No Adverse Conditions",Dry,Dusk
December,Weekend,1,Rain,Wet,Dusk
February,Weekday,3,"No Adverse Conditions",Ice,Daylight
February,Weekday,2,"No Adverse Conditions",Snow,Daylight
February,Weekday,1,"No Adverse Conditions",Ice,"Dark - Not Lighted"
February,Weekday,1,"No Adverse Conditions",Ice,"Dark - Lighted"
February,Weekday,1,Snow,Ice,Daylight
February,Weekday,1,Snow,Snow,Daylight
