REPORT_DATE,Alaska_num_of_crashes
2022-10-26,1
2022-11-07,1
2022-11-08,1
2022-11-19,1
2022-11-22,1
2022-11-25,1
2022-12-05,1
2022-12-09,2
2022-12-10,1
2022-12-12,1
2022-12-13,1
2022-12-15,2
2022-12-16,1
2022-12-19,1
2022-12-20,1
2022-12-23,1
2022-12-24,2
2022-12-26,1
2022-12-30,2
2023-01-09,1
2023-01-12,1
2023-01-14,1
2023-01-19,1
2023-01-23,2
2023-02-03,1
2023-02-14,1
2023-02-18,1
2023-02-21,2
2023-03-07,1
2023-03-08,1
2023-03-09,1
2023-04-06,1
2023-04-09,1
2023-04-10,1
2023-04-12,1
2023-05-04,1
2023-05-28,1
2023-06-03,1
2023-06-17,1
2023-06-19,1
2023-07-05,1
2023-07-09,1
2023-07-12,1
2023-07-17,1
2023-07-18,1
2023-07-19,1
2023-08-24,1
2023-08-28,1
2023-09-08,1
2023-09-10,1
2023-09-17,1
2023-09-29,1
2023-11-09,1
2023-11-10,1
2023-11-15,1
2023-11-16,1
2023-12-01,1
2023-12-12,1
2023-12-15,4
2023-12-17,1
2023-12-20,2
2023-12-23,1
2024-01-10,1
2024-01-20,1
2024-01-29,2
2024-01-30,1
2024-02-06,1
2024-02-07,1
2024-02-13,1
2024-02-14,1
2024-02-22,1
2024-03-15,1
2024-04-01,1
2024-04-23,1
2024-04-26,1
2024-05-08,1
2024-06-06,1
2024-06-22,1
2024-06-24,1
2024-06-27,1
2024-08-01,1
